,type,organization,comment,photo,photo_after,coords,subdistrict,district,timestamp,state,star,last_activity,severity,time_to_solve
10,{ท่อระบายน้ำ},"เขตบางนา,ฝ่ายโยธา เขตบางนา",ตะแกรงท่อระบายน้ำชำรุดหลายจุด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-04/e0dc76e28873e4bd8f358a63b80c370e688c30ab.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/8d68e9809d77eb2fc8a3193f82d45f00.jpg,"100.63575,13.67069",บางนาเหนือ,บางนา,2022-04-01 08:31:29.079355+00,เสร็จสิ้น,3.0,2024-04-23 10:43:37.199922+00,Very Low,6
11,{ความสะอาด},"เขตทุ่งครุ,ฝ่ายรักษาความสะอาดฯ เขตทุ่งครุ",ขยะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-04/9e42c339e4ce6e06a574157437f0ae22c22facfe.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709809452469.jpeg,"100.49587,13.64050",ทุ่งครุ,ทุ่งครุ,2022-04-04 09:18:50.4922+00,เสร็จสิ้น,5.0,2024-03-07 11:04:14.019022+00,Very Low,13
12,"{คลอง,ถนน}","เขตคลองสามวา,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),กลุ่มงานวางแผนและออกแบบ 1 สวจ.สจส. กทม.",แจ้งขอทางม้าลาย หน้าหมู่บ้าน เดอะแพสเซจ เนื่องจากถนนคู้บอน เลียบคลองสอง ไปจนถึงตัดกับถนนหทัยราษฎร์ ถ้าไม่ใช่ 4แยก ไม่มีทางม้าลาย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-04/3bb957dd965db0ccc143313e00511c19bedade1d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/d858e05d901e9415e845d9016fdd8289.png,"100.68521,13.85749",บางชัน,คลองสามวา,2022-04-07 06:47:24.64935+00,เสร็จสิ้น,4.0,2024-12-03 06:28:39.666357+00,Very Low,8
13,{ถนน},"เขตจตุจักร,สำนักการโยธา กทม.,กองควบคุมการก่อสร้าง สำนักการโยธา (กคส.สนย.) กทม.,กลุ่มงานควบคุมการก่อสร้าง 1 กองควบคุมการก่อสร้าง (กคส.สนย.)",ฝนตกถนนลื่นขี้เลนตรวจสอบ หน่วยงานไหนเป็นผู้รับผิดชอบ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-04/fe8c0aa2f337947b00e374b9fa6e4915e635f902.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-05/b7457eef9ec2d4611bebcaf36436fc23.png,"100.58576,13.85828",ลาดยาว,จตุจักร,2022-04-30 04:57:49.906226+00,เสร็จสิ้น,3.0,2024-05-20 13:05:34.528824+00,Very Low,7
14,{ความสะอาด},"เขตบางเขน,ฝ่ายรักษาความสะอาดฯ เขตบางเขน",ปัญหาการจัดเก็บขยะ เขตบางเขน ในซอยพหลโยธิน 53และ55,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/dcbc14ded239c5f0cd2c11ddd48c9240c5941304.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709693902764.jpeg,"100.58958,13.86974",อนุสาวรีย์,บางเขน,2022-05-02 09:48:19.586845+00,เสร็จสิ้น,5.0,2024-03-06 02:58:25.521564+00,Very Low,7
15,{ทางเท้า},"เขตสายไหม,ฝ่ายโยธา เขตสายไหม",ไม่มีทางเท้าสำหรับคนเดิน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/37dec43c09dea8003b03c911783afd6862287930.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1710229185957.jpeg,"100.61035,13.89700",คลองถนน,สายไหม,2022-05-02 11:13:32.670673+00,เสร็จสิ้น,3.0,2024-03-12 07:39:50.150739+00,Very Low,4
16,{ทางเท้า},"เขตจตุจักร,ฝ่ายเทศกิจ เขตจตุจักร",พบเห็นป้ายหาเสียงตั้งขวางทางเท้า เหตุเกิดบนถนนพหลโยธิน หน้า Michelin Tyre Plus ฝั่งตรงข้ามเซ็นทรัลลาดพร้าว,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/0a6b39dcc34bed39214df3212531a4487ab663cf.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709696344140.jpeg,"100.56150,13.81605",จอมพล,จตุจักร,2022-05-02 11:34:48.855564+00,เสร็จสิ้น,1.0,2024-04-17 09:29:37.881862+00,Low,1
17,{ถนน},"เขตภาษีเจริญ,ฝ่ายโยธา เขตภาษีเจริญ",พบปัญหาก่อสร้างถม เขตถนนสาธารณะในซอย ทำให้ถนนแคบลงการสันจรยากขึ้น นะครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/9ab4c489086d35e02d66596e32be403000175f54.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709733108817.jpeg,"100.44440,13.71732",บางด้วน,ภาษีเจริญ,2022-05-10 17:12:21.216442+00,เสร็จสิ้น,1.0,2024-03-06 13:51:50.320563+00,Very Low,5
18,{ทางเท้า},"เขตภาษีเจริญ,สน.ภาษีเจริญ,ฝ่ายเทศกิจ เขตภาษีเจริญ,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 9 (บก.น.9)",แจ้งปัญหาทางเท้าโดนอู่ซ่อมรถวางของ จอดรถทับทาง จนต้องคอยเดินหลบรถที่เข้าออกเสมอๆ เพราะไม่มีทางเท้า,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/62729bcd57a5d577bdb5b829c4d0efa0d053dd38.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709706201443.jpeg,"100.44586,13.71750",บางหว้า,ภาษีเจริญ,2022-05-19 08:00:16.525469+00,เสร็จสิ้น,1.0,2024-03-06 06:23:23.636472+00,Very Low,12
19,{ทางเท้า},เขตราษฎร์บูรณะ,ในซอยไม่มีทางเท้า มีการสร้างสิ่งปลูกสร้างทับคูน้ำ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/3a29b318a1c2d4b294ea605d7ed08f7a7d7fff9a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709692443005.jpeg,"100.49442,13.67398",บางปะกอก,ราษฎร์บูรณะ,2022-05-22 12:42:18.869583+00,เสร็จสิ้น,3.0,2024-03-06 02:34:04.442953+00,Low,4
20,{เสียงรบกวน},"เขตราชเทวี,ฝ่ายโยธา เขตราชเทวี",ก่อสร้างเสียงดังและเกินเวลา,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b29ced854d778367f8e7f53d017d7191c9ed2ad8.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/26f9462f34a15010c7bdbf81debd04fa.png,"100.53477,13.75158",ถนนเพชรบุรี,ราชเทวี,2022-05-22 17:39:58.144125+00,เสร็จสิ้น,1.0,2024-10-31 05:41:13.961143+00,Very Low,4
21,{ทางเท้า},"โครงการรถไฟฟ้าสายสีเขียวเหนือ (ถนนพหลโยธิน และถนนลาดพร้าว),ฟขข.รับร้องเรียนฟุตบาท+ฝาท่อ,การไฟฟ้านครหลวง เขตบางเขน,การไฟฟ้านครหลวง ฝ่ายบริหารโครงการ,เขตจตุจักร,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,การไฟฟ้านครหลวง MEA,สำนักการโยธา กทม.",ทางเท้าชำรุด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/033fb4c2d31f876f1d105ab3e6304952aafdf1fd.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-09/6179e21c691fcadbdd4c9900903862fd.jpg,"100.57312,13.83535",เสนานิคม,จตุจักร,2022-05-23 01:14:06.302485+00,เสร็จสิ้น,1.0,2024-09-12 07:25:06.887492+00,Low,4
22,{ทางเท้า},"เขตธนบุรี,สำนักการโยธา กทม.",ริมถนนรัชดาภิเษก เลยเดอะมอลล์ ท่าพระ มาหน่อย มีการขุดทางเท้า แล้วขวางเต็มพื้นที่ โดยไม่มีการกั้นทางเดินให้ผู้ใช้ทางเท้า ทำให้ผู้ใช้ทางเท้าต้องลงไปเดินบนถนน เสี่ยงถุกรถเฉี่ยวชนมากครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/fea10e0341319c41d67b830f054b399cd98a59cd.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/2b09d8048740c6a1137fae8cef73357e.jpg,"100.47921,13.71175",บุคคโล,ธนบุรี,2022-05-23 04:33:29.448144+00,เสร็จสิ้น,5.0,2024-10-25 09:06:19.087576+00,Very Low,26
23,{คลอง},"เขตปทุมวัน,สำนักการระบายน้ำ กทม.,กองระบบท่อระบายน้ำ สำนักการระบายน้ำ",คลองข้างซอยนี้น้ำเหม็นมากครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/8066d4545b5af9d2b8b16bf658dd660ee61ba1e1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1710397752331.jpeg,"100.54547,13.74399",ลุมพินี,ปทุมวัน,2022-05-24 05:51:29.150613+00,เสร็จสิ้น,3.0,2024-03-14 06:29:15.617438+00,Very Low,7
24,{ความสะอาด},เขตลาดพร้าว,ขยะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/f4d369b9cb0b8823af0f9756bb99a0ea55c883f9.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/1fd853fe63e66ad20a30369622439581950cc7f5.jpg,"100.60784,13.80373",ลาดพร้าว,ลาดพร้าว,2022-05-24 11:21:56.513483+00,เสร็จสิ้น,4.0,2022-05-24 11:23:43.888921+00,Very Low,7
25,{ถนน},"เขตบางซื่อ,ฝ่ายเทศกิจ เขตบางซื่อ",ห้องเช่าไม่มีที่จอดรถ ผู้เช่าเลยจอดรถ/รถเข็นและตากผ้าบนถนน แถมทางขึ้นห้องเช่าลุกเล้าพื้นที่ถนน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/ff4ee5ba97e20cce1825c77e94df4f8f0f5a90ef.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1710384023332.jpeg,"100.53866,13.81725",บางซื่อ,บางซื่อ,2022-05-24 17:03:27.05014+00,เสร็จสิ้น,1.0,2024-03-14 02:40:25.209127+00,Very Low,13
26,{น้ำท่วม},เขตลาดพร้าว,น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/8eab4334e4bf2035a9c6a8827ea34355990740c7.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/c8ac86edd7b3e0c0db129b9ebe666288c0561479.jpg,"100.60760,13.80358",ลาดพร้าว,ลาดพร้าว,2022-05-25 04:02:15.966391+00,เสร็จสิ้น,4.0,2022-05-25 04:32:39.067119+00,Very Low,3
27,{ความสะอาด},"เขตบางขุนเทียน,ฝ่ายรักษาความสะอาดฯ เขตบางขุนเทียน",พบกองขยะปริมาณมหาศาลและเพิ่มขึ้นเรื่อยๆที่ริมฟุตบาต,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b4f57e6adbd608645c1e069c1b1e3daca6d9010d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709956748578.jpeg,"100.42962,13.62654",แสมดำ,บางขุนเทียน,2022-05-25 05:44:32.198188+00,เสร็จสิ้น,5.0,2024-03-09 03:59:10.694194+00,Very Low,1
28,{น้ำท่วม},เขตลาดพร้าว,น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/db1f76121bb20046e8dec403a3bc53a7db9e2d0e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/bf2137260c04fcd1a3bc47578bf5fd20c547034f.png,"100.60811,13.80620",ลาดพร้าว,ลาดพร้าว,2022-05-25 08:50:00.408657+00,เสร็จสิ้น,5.0,2022-05-25 08:52:50.500971+00,Medium,3
29,{ความสะอาด},"เขตลาดพร้าว,ผอ.เขตลาดพร้าว (นางสุภาพร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ขยะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/01b89e9c30b04280218191487d518bed1e3d65d9.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b089b59e4935a7f271ed139309f00981b4857d49.jpg,"100.60685,13.80170",ลาดพร้าว,ลาดพร้าว,2022-05-26 06:44:22.707167+00,เสร็จสิ้น,5.0,2022-05-26 06:50:38.663941+00,Very Low,4
30,{สะพาน},"อบต.แอตแลนติส (ใช้ทดสอบ),เขตราชเทวี,ฝ่ายรักษาความสะอาดฯ เขตราชเทวี,ผอ.เขตราชเทวี (นายกรณิศ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",เห็นเศษไม้ เศษก้อนปูนทิ้งไว้ข้างสะพานหัวช้าง ราชเทวีมานานแล้วค่ะ ไม่เห็นมีใครเก็บ/กำจัดมันออกไป สภาพแวดล้อมดูสกปรก และเสี่ยงต่อการใช้สิ่งพวกนี้เป็นอาวุธ เช่น ใช้เศษก้อนปูนขว้างปา เข้าบ้านเรือนประชาชน ฯลฯได้ในอนาคตค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/41f72d55f7f08200fd506aeca124727f45768c4c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/0881d8f0af788dfd394e7d5054729abcfe89ef26.jpg,"100.53138,13.74958",ถนนเพชรบุรี,ราชเทวี,2022-05-26 06:59:10.781756+00,เสร็จสิ้น,5.0,2022-07-25 06:41:26.471152+00,Very Low,8
31,"{ท่อระบายน้ำ,ถนน}","เขตหลักสี่,เขตจตุจักร,สำนักการโยธา กทม.,การรถไฟแห่งประเทศไทย,ผอ.เขตจตุจักร (นางสาวภัทร์กร),ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ถนนกำแพงเพชร 6(โลคอลโรดเลียบสายสีแดง) ถนนไม่ดีเลย ฝาท่อไม่เสมอตลอดระยะบนถนน และคอสะพานกระโดดมาก รถโช๊กเสียไปแล้วครับ กทม.ช่วยประสานรฟท. ปรับปรุงให้ดีกว่านี้นะครับ ยาวตั้งแต่สถานีทุ่งสองห้องฝั่งเข้าเมืองถึงบ้านกลางเมืองสถานีรถไฟจตุจักรของสายสีแดง,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/f12e5807c89de565895d64b0913c177fb62276d3.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/f6ff082f4649f16db399c17b9d84920e52c2eab8.jpg,"100.56506,13.85549",ลาดยาว,จตุจักร,2022-05-26 09:25:56.010889+00,กำลังดำเนินการ,1.0,2024-07-10 07:17:25.718672+00,Very Low,1
32,{น้ำท่วม},"กลุ่มงานระบายน้ำ ฝ่ายโยธา@ห้วยขวาง,เขตห้วยขวาง,ฝ่ายโยธา เขตห้วยขวาง",ปัญหาน้ำท่วมขังรอการระบาย เวลาฝนตกหนักที่สี่แยกห้วยขวางค่ะ สูงเกินครึ่งล้อรถยนต์ที่เป็นรถเก๋งค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/bd559ae8dc043a4862588d4f377a5267d82b1f04.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-08/1693481522657.jpeg,"100.57577,13.77914",ห้วยขวาง,ห้วยขวาง,2022-05-26 18:22:18.754679+00,เสร็จสิ้น,5.0,2023-08-31 11:32:05.407633+00,Low,6
33,{ทางเท้า},"เขตดินแดง,ฝ่ายเทศกิจ เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",แจ้งปัญหาทางเท้า,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/cefd8fe577553ad2a86cebf39b47864680ed10b3.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/7dd1109296e0b187361dd58a7274dd4b9e8515b7.jpg,"100.57363,13.77845",ดินแดง,ดินแดง,2022-05-27 00:45:48.322782+00,เสร็จสิ้น,1.0,2022-06-16 14:38:26.226439+00,Very Low,16
34,{สายไฟ},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",สายสื่อสายห้อย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/67ffb5e3ab3323925f6503fb8373267054191084.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/70dea8976e9abdf3defa4fefa297648d28ed5b1f.jpg,"100.61032,13.85793",อนุสาวรีย์,บางเขน,2022-05-27 02:46:26.590096+00,เสร็จสิ้น,4.0,2022-06-03 15:29:58.026041+00,Low,5
35,"{ถนน,สะพาน}","เขตลาดกระบัง,สำนักการโยธา กทม.,สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.,ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.)","กทม.ช่วยปรับปรุงถนนกทม.ให้ดีและวางแผนปรับพื้นใหม่ให้ดีกว่าที่มาปะผุเอาไว้เมื่อเดือนที่แล้ว เพราะถนนทรุดมาก
 ""ถนนฉลองกรุง"" เขตลาดกระบัง ตรงบริเวณที่กลับรถใต้สะพานข้ามถนนมอเตอร์เวย์ทั้งสองฝั่ง (ถนนที่อยู่ฝั่งสถาบันเทคโนโลยีพระจอมเกล้าฯ ลาดกระบัง) มีปัญหาถนนทรุดข้างๆตัวสะพาน ทำให้เกิดอุบัติเหตุรถวิ่งมาเสียหลักบ่อยมากครับ
และถนนนี้ฝั่งมุ่งหน้าเข้ามหาลัย(ช่วงก่อนถึงทางข้ามรถไฟ) เวลาฝนตกจะมีน้ำขังช่องเลนซ้ายสุดประจำ ช่วยปรับปรุงให้น้ำไม่ขังด้วย",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/575ad97a23b29cbc8daba49ba1389dc993a7e3b0.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1675949555017.jpeg,"100.78370,13.73035",ลำปลาทิว,ลาดกระบัง,2022-05-27 04:02:38.305569+00,เสร็จสิ้น,1.0,2024-01-31 04:39:25.172811+00,Medium,5
36,"{กีดขวาง,ถนน,ความสะอาด}","เขตจตุจักร,ฝ่ายเทศกิจ เขตจตุจักร,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)","มีการวางสิ่งของรุกล้ำถนน

รถจอดแช่ข้ามวันข้ามคืน ทั้งที่ไม่น่าจะเป็นที่ให้จอด

มีการกั้นรั้ว ทำให้ไม่สามารถเดินเข้าออกได้สะดวก

เต็นท์ กีดขวางทางเท้า

ขยะบนทางเท้า",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/91fd5693690b72746ecdda5140a0948073ff3902.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2beccb146b4bb052224156646b508930fdb35f32.jpg,"100.55083,13.80282",จตุจักร,จตุจักร,2022-05-27 05:04:30.242136+00,เสร็จสิ้น,1.0,2023-02-09 08:49:47.241561+00,Low,1
37,{แสงสว่าง},"เขตตลิ่งชัน,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),ผอ.เขตตลิ่งชัน (นางชดาวรรณ),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",รวมถึงไม่มีไฟกระพริบตรงทางแยกที่จะไปจรัญตัดใหม่- สาย 4รวมถึงไฟทางมืดตลอดทางสาย 1,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/ac3a5d2537eb0d0bf60e9f933bc97d68a35c340a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0084f7697c5e2b747eba024fe57cee59312c2416.jpg,"100.42730,13.75027",บางพรม,ตลิ่งชัน,2022-05-27 07:03:05.493255+00,เสร็จสิ้น,4.0,2022-06-15 12:26:06.350777+00,Very Low,15
38,{ถนน},"เขตพญาไท,ฝ่ายโยธา เขตพญาไท,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",มีหน่วยงานมาขุดถนนแล้วซ่อมได้แย่มากครับ ซอยประดิพัทธ์ 23 เขตพญาไท,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/f0874203036fb591cbafdc1ca98481705e63e28f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/ef74a0d438f19d2291060d0cf7247a6dd5bf1cd7.jpg,"100.54732,13.79002",สามเสนใน,พญาไท,2022-05-27 10:44:43.461954+00,เสร็จสิ้น,5.0,2022-06-17 01:57:54.647064+00,Very Low,7
